year	Charles Dickens	Merry Christmas
1939	8.50581272970885e-07	3.313389364783299e-07
1940	7.898527607202206e-07	3.501096646881966e-07
1941	7.849182160108674e-07	3.715536617424472e-07
1942	7.713151879735441e-07	3.9050164397329876e-07
1943	7.751855345564504e-07	3.903054895155427e-07
1944	7.710907945173468e-07	3.919164441867906e-07
1945	7.641791869770844e-07	3.754927563802214e-07
1946	8.240812852428852e-07	3.60157863659489e-07
1947	8.57630230452092e-07	3.2808354839224716e-07
1948	8.803795432348644e-07	2.9999905848399067e-07
1949	9.657902150398253e-07	2.839322499020065e-07
1950	9.480046238812585e-07	2.794414330407692e-07
1951	9.381593031321245e-07	2.786485201308356e-07
1952	9.187276483706748e-07	2.8806592768302964e-07
1953	9.175707061461123e-07	2.9507467656588104e-07
1954	9.02476618388651e-07	3.07402716868767e-07
1955	8.825486799781044e-07	3.0865753127987515e-07
1956	7.849087637623597e-07	2.9417121132675153e-07
1957	8.131393656185537e-07	2.788507832259971e-07
1958	7.976477312305568e-07	2.6035903439541084e-07
1959	7.931859369948922e-07	2.380845631120922e-07
1960	7.632394515764775e-07	2.1997151122832292e-07
1961	7.166262727358636e-07	1.9877539614299167e-07
1962	7.500827824255143e-07	1.8812997991192658e-07
1963	7.345554584909613e-07	1.8156783962045404e-07
1964	7.134331911272187e-07	1.7497037723452585e-07
1965	7.30086039116681e-07	1.6178612075431635e-07
1966	7.422535678155587e-07	1.60607303964103e-07
1967	8.097277535463425e-07	1.6520282437275974e-07
1968	8.412039684506973e-07	1.680941323911611e-07
1969	8.786248193765849e-07	1.6585305421098644e-07
1970	9.012895653930692e-07	1.676721512110037e-07
1971	9.175123035934771e-07	1.6652376595110191e-07
1972	9.019073721512021e-07	1.7081582370792603e-07
1973	9.111503962750638e-07	1.7518231995187046e-07
1974	8.264943858193874e-07	1.7378767885085316e-07
1975	8.039098377464273e-07	1.8062109217810628e-07
1976	7.368298854869084e-07	1.8468566460277153e-07
1977	7.202762779862886e-07	1.927967109135612e-07
1978	7.200444218012438e-07	2.035660072254229e-07
1979	7.497586044077512e-07	2.1477115248152196e-07
1980	7.546827224099875e-07	2.2003377304307443e-07
1981	7.82273827683509e-07	2.268311435825256e-07
1982	7.947455498781762e-07	2.353875702608223e-07
1983	7.852309197785092e-07	2.472895082356834e-07
1984	7.880899569759745e-07	2.571917211266087e-07
1985	7.75252747839009e-07	2.641516232415597e-07
1986	7.808748218199721e-07	2.715488847115921e-07
1987	8.096662976900657e-07	2.8797537611678437e-07
1988	7.954991312025024e-07	3.054140985828521e-07
1989	7.797153297620493e-07	3.1407202121564684e-07
1990	7.839237322774093e-07	3.187710758213923e-07
1991	7.946513846945891e-07	3.304868942320484e-07
1992	7.847059464438644e-07	3.3730118989946535e-07
1993	7.730266458695821e-07	3.465013622059944e-07
1994	7.417030961473106e-07	3.536056567554624e-07
1995	7.503745190920849e-07	3.512477145964762e-07
1996	7.728563511071635e-07	3.585443144921945e-07
1997	7.895338204174809e-07	3.7116691536149507e-07
1998	7.841866818125709e-07	3.7107183932979143e-07
1999	8.020736800062878e-07	3.7834159343219654e-07
2000	8.020194854907459e-07	3.816908105136463e-07
